BveTs Station List 2.00
小平岛前,小平岛前,10:15:00,10:16:00,20,10:15:30,,15,0.85,,,,
河口,河口,,,20,,,15,0.85,,,,
七贤岭,七贤岭,,,20,,,15,0.85,,,,
中国华录,中国华录,,,20,,,15,0.85,,,,
七贤岭地铁站,七贤岭地铁站,,,20,,,15,0.85,,,,
万达广场,万达广场,,,20,,,15,0.85,,,,
海事大学,海事大学,,,20,,,15,0.85,,,,
学苑广场地铁站,学苑广场地铁站,,,20,,,15,0.85,,,,
黑石礁,黑石礁,,,20,,,15,0.85,,,,
星海公园,星海公园,,,20,,,15,0.85,,,,
大医二院,大医二院,,,20,,,15,0.85,,,,
化物所,化物所,,,20,,,15,0.85,,,,
星海广场,星海广场,,,20,,,15,0.85,,,,
会展中心,会展中心,,,20,,,15,0.85,,,,
和平广场,和平广场,,,20,,,15,0.85,,,,
功成街,功成街,,,20,,,15,0.85,,,,
解放广场,解放广场,,,20,,,15,0.85,,,,
锦辉商城,锦辉商城,,,20,,,15,0.85,,,,
兴工街,兴工街,10:56:00,t,20,10:56:00,,15,0.85,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
