BveTs Vehicle Performance Table 2.00:shift_jis,,,,,,,
#,,,,,,,
0,38304,65664,96064,114304,150784,150784,150784
5,19456,41344,65664,83904,114304,150784,150784
10,12160,24320,41344,53504,83904,114304,150784
15,7782.4,17510.4,27360,38912,53504,83904,120384
20,4377.6,12646.4,19456,25536,34048,53504,81472
25,1945.6,7296,11673.6,15564.8,19456,27724.8,46208
30,0,3404.8,5350.4,10700.8,12646.4,17996.8,24320
35,0,972.8,1945.6,4864,7782.4,11187.2,14592
40,0,0,972.8,1945.6,4864,6809.6,11187.2
45,0,0,0,486.4,3404.8,4864,8755.2
50,0,0,0,0,1945.6,3404.8,6809.6
55,0,0,0,0,972.8,1945.6,4864
60,0,0,0,0,0,972.8,3891.2
65,0,0,0,0,0,0,1945.6
70,0,0,0,0,0,0,972.8
75,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0
